Sub_tree_id,npart,zcurr,tcurr,sn_zcurr,sn_z025,sn_z050,mstar_zcurr,fbound_zcurr,sigma50_zcurr,phase-state_zcurr,age50_prog_zcurr,age50_stream_zcurr,sigma_t_prog_zcurr,sigma_t_stream_zcurr,Z50_prog_zcurr,Z50_stream_zcurr,sigma_Z_prog_zcurr,sigma_Z_stream_zcurr,sigma_r_zcurr,mstar_z025,fbound_z025,sigma50_z025,phase-state_z025,age50_prog_z025,age50_stream_z025,sigma_t_prog_z025,sigma_t_stream_z025,Z50_prog_z025,Z50_stream_z025,sigma_Z_prog_z025,sigma_Z_stream_z025,sigma_r_z025,mstar_z050,fbound_z050,sigma50_z050,phase-state_z050,age50_prog_z050,age50_stream_z050,sigma_t_prog_z050,sigma_t_stream_z050,Z50_prog_z050,Z50_stream_z050,sigma_Z_prog_z050,sigma_Z_stream_z050,sigma_r_z050,stellar_mass,dm_mass,r_50_stars,scale_radius,gas_mass,sigma_stellar,sigma_dm,t_infall,t_quenching,birth_snap,death_snap,l_orbit_infall_x,l_orbit_infall_y,l_orbit_infall_z,l_orbit_z_curr_x,l_orbit_z_curr_y,l_orbit_z_curr_z,l_orbit_z025_x,l_orbit_z025_y,l_orbit_z025_z,l_orbit_z050_x,l_orbit_z050_y,l_orbit_z050_z,angle_orbit_disk_infall,angle_orbit_disk_z_curr,angle_orbit_disk_z025,angle_orbit_disk_z050,apocenter_radius,pericenter_radius,apocenter_time,pericenter_time,apocenter_detection,pericenter_detection,eccentricity
-1,29999,0.111098,12.345296,465,401,316,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,14788,0.111098,12.345296,465,401,316,91396792.07942632,0.0082079319360903,63.41232507449753,2,10.258637329153224,10.88605376882378,0.4480855768544558,0.6036239477955898,-1.8368485679111024,-2.1148794251422416,0.4397673244405308,26.403963073347665,14.393564411839794,91438547.31467438,0.0277248012850812,57.876459065144815,2,8.696103201108444,9.340268918479254,0.4128378991978489,0.604204151545057,-1.8102715880977376,-2.120189405271088,0.4518994944345862,26.676092312490585,16.827285657242886,91543580.35448828,0.1197412338063826,43.25339548356919,2,6.466344049454822,7.177494922910844,0.3951245423631406,0.6035550548885219,-1.8050907673955656,-2.150667570187263,5.446040947690768,28.013871661029263,21.321053787994565,62790936.790406704,10240455865.859983,0.5432452254064483,4.932526601912154,494170138.1864978,34.919974655198736,52.16969386850159,1.9036150375009413,,0.0,465.0,-43177302725257.56,9883136302169.234,-10839787259576.137,-36293373483.50769,43879963158.65519,-12628092883.339125,-62295782246.511406,3401014982.590349,49066942394.01231,-7723209717.285223,100885645837.62598,-9040558753.9197,31.152503432066755,36.02181233715329,42.85491389030095,46.97235196822759,33.26218490979297,11.68018810737946,2.417778689499325,2.231567978878827,1.0,1.0,0.4802148919498989
1065,155,0.111098,12.345296,465,401,316,1014393.0537838256,0.0,90.09637181111668,2,,11.222013435179704,,0.1059224778029873,,-3.100134755376251,,0.2771579390862239,15.455963482313802,1014646.3440129488,0.0,93.366492125572,2,,9.652745600571317,,0.1059224778029873,,-3.100134755376251,,0.2771579390862238,14.815733511334894,1015277.7689569691,0.0,71.72270018824798,2,,7.441340235681809,,0.1059224778029873,,-3.100134755376251,,0.2771579390862239,17.89180640927587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,55,0.111098,12.345296,465,401,316,357580.9004144417,0.0,75.7978255691494,2,,11.173224515309853,,0.0025927339955463,,-3.116090903567281,,0.1203164028608658,8.676347258264379,357686.4636291651,0.0,64.72244540499446,2,,9.603956680701463,,0.0025927339955464,,-3.116090903567281,,0.1203164028608658,7.61772795958025,357944.9869886818,0.0,79.24892256709579,2,,7.392551315811956,,0.0025927339955464,,-3.116090903567281,,0.1203164028608658,7.531156181158294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,4538952,0.111098,12.345296,465,401,316,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,176,0.111098,12.345296,465,401,316,1183306.5985340849,0.0,84.61379842742413,2,,11.636488635067728,,0.018662512789893,,-3.2145657200327715,,0.4839155655991072,11.086651162397615,1183464.989289045,0.0,76.68461283593048,2,,10.06722080045934,,0.018662512789893,,-3.2145657200327715,,0.4839155655991073,12.144045370667282,1183857.745904881,0.0,79.18513089635015,2,,7.855815435569831,,0.0186625127898929,,-3.2145657200327715,,0.4839155655991072,11.279799209034644,1236433.1632852554,129356477.4096012,0.2182332538210397,0.2370505403355201,475990.03037889086,15.370044699409249,18.83021114913978,1.130065437059563,,0.0,26.0,113098803579.72276,-40682767904.71976,25504675344.28422,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,14.19590553982794,-4.0,-4.0,-4.0,34.90705482540765,7.757180086345151,1.584903140991454,1.3181545413042366,1.0,1.0,0.6363614581445001
1204,214,0.111098,12.345296,465,401,316,1421284.469788771,0.0,60.51319710492384,2,,11.710428769695875,,0.1554890193589506,,-2.9035459307380624,,0.6616031556269686,17.686297373274925,1421498.0553000565,0.0,54.789354974738,2,,10.141160935087486,,0.1554890193589507,,-2.9035459307380624,,0.6616031556269685,14.69811632847517,1422024.7094572375,0.0,29.39529410862716,2,,7.929755570197979,,0.1554890193589507,,-2.9035459307380624,,0.6616031556269686,16.517942306128077,1469125.4182253033,219343584.03086665,0.065764793512312,0.5391765756362795,32616290.84842376,21.031217209855143,21.623986975754587,1.0035621332189393,,0.0,228.0,-63348159557.53066,49219301972.1417,-7455650424.808921,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,26.03516056578041,-4.0,-4.0,-4.0,41.43115331395084,3.498010070253171,2.069444049489708,1.7460958954276604,1.0,1.0,0.8442877718269295
1205,995,0.111098,12.345296,465,401,316,6476457.93779664,0.0,61.78526737807363,2,,11.450105062468747,,0.0425508829037767,,-2.871134313844288,,0.6883703739292626,6.310972565276281,6477781.347168304,0.0,53.32105567699023,2,,9.880837227860358,,0.0425508829037767,,-2.871134313844288,,0.6883703739292627,6.221991791540268,6481066.312486951,0.0,42.02614372899314,2,,7.669431862970851,,0.0425508829037767,,-2.871134313844288,,0.6883703739292627,6.247932238758995,6821373.24474752,377624556.4222336,0.3058895442706272,1.9628403462327584,18292520.33018752,16.462224732340413,22.01882290478358,1.368332846840832,,0.0,191.0,-635149603812.7479,-1080184788920.3092,243635619458.6581,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,72.23858149509016,-4.0,-4.0,-4.0,30.65141510778492,12.7228685966609,1.7778842689848222,1.5425073303471428,1.0,1.0,0.4133450740832951
1221,91,0.111098,12.345296,465,401,316,649930.5907261966,0.0,106.82025996966264,2,,12.01712358063052,,0.0227447485980623,,-4.088805460907879,,0.7868940651216799,4.4090483611798055,649959.7368195101,0.0,106.300524606979,2,,10.447855746022132,,0.0227447485980623,,-4.088805460907879,,0.7868940651216798,4.2945372437761655,650032.7368248435,0.0,108.14381038928474,2,,8.236450381132626,,0.0227447485980623,,-4.088805460907879,,0.7868940651216798,3.768983108833048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,2018,0.111098,12.345296,465,401,316,13296330.690029517,0.0,56.775204952199125,2,,11.6885395662833,,0.4102281935150874,,-2.386120842918785,,7.293916497872659,6.099364247363423,13298965.1938485,0.0,56.21901482466176,2,,10.11927173167491,,0.4102281935150874,,-2.386120842918785,,7.293916497872658,6.011613691910498,13305488.111007717,0.0,54.6032235038378,2,,7.907866366785404,,0.4102281935150874,,-2.386120842918785,,7.293916497872658,5.683912102064786,1811103.138606996,2027723342.180252,0.2294250874176502,2.49203281757224,243892972.70441425,26.20254712967099,48.26719974472522,1.2101494846254142,,0.0,267.0,3793263620608.964,-1956879926201.871,1523250291686.587,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,16.97243310505629,-4.0,-4.0,-4.0,22.36367698694809,9.81458507991552,1.658995394788488,1.4288644515988151,1.0,1.0,0.3899866276480891
