Sub_tree_id,npart,zcurr,tcurr,sn_zcurr,sn_z025,sn_z050,mstar_zcurr,fbound_zcurr,sigma50_zcurr,phase-state_zcurr,age50_prog_zcurr,age50_stream_zcurr,sigma_t_prog_zcurr,sigma_t_stream_zcurr,Z50_prog_zcurr,Z50_stream_zcurr,sigma_Z_prog_zcurr,sigma_Z_stream_zcurr,sigma_r_zcurr,mstar_z025,fbound_z025,sigma50_z025,phase-state_z025,age50_prog_z025,age50_stream_z025,sigma_t_prog_z025,sigma_t_stream_z025,Z50_prog_z025,Z50_stream_z025,sigma_Z_prog_z025,sigma_Z_stream_z025,sigma_r_z025,mstar_z050,fbound_z050,sigma50_z050,phase-state_z050,age50_prog_z050,age50_stream_z050,sigma_t_prog_z050,sigma_t_stream_z050,Z50_prog_z050,Z50_stream_z050,sigma_Z_prog_z050,sigma_Z_stream_z050,sigma_r_z050,stellar_mass,dm_mass,r_50_stars,scale_radius,gas_mass,sigma_stellar,sigma_dm,t_infall,t_quenching,birth_snap,death_snap,l_orbit_infall_x,l_orbit_infall_y,l_orbit_infall_z,l_orbit_z_curr_x,l_orbit_z_curr_y,l_orbit_z_curr_z,l_orbit_z025_x,l_orbit_z025_y,l_orbit_z025_z,l_orbit_z050_x,l_orbit_z050_y,l_orbit_z050_z,angle_orbit_disk_infall,angle_orbit_disk_z_curr,angle_orbit_disk_z025,angle_orbit_disk_z050,apocenter_radius,pericenter_radius,apocenter_time,pericenter_time,apocenter_detection,pericenter_detection,eccentricity
-1,1819,0.000468,13.829697,213,128,104,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,4193,0.000468,13.829697,213,128,104,23597125.03055556,0.9513447500797126,5.645429650521051,1,8.132881670752337,13.073578940052094,2.334663237419216,1.9287789501510844,-1.466509998837328,-3.091435896937731,11.374749784465166,20.203120093359352,19.24786018459823,23901748.56771647,0.9926764057591728,7.5128011140334,0,4.998572530739485,9.907037617707791,2.4329527725946782,0.0434783229635826,-1.5219982715586298,-3.589862958058193,12.071329762438252,0.4487486410762355,6.065347542134472,21296584.72589735,0.998086747534061,11.719711631396589,0,3.0319716336499547,7.766401971330115,2.129682051395925,0.040857194982764,-1.5562292707361391,-3.078051697373506,12.85070058976805,0.4768537830989262,0.787276013234857,21586976.94540024,2925585806.369781,0.267911468512482,1.1788326889403884,163599978.00788838,31.86323949278779,29.104006739212632,7.677136167273813,10.4629584309921,0.0,213.0,-4030254185431.409,19030693784421.234,-9325316847891.367,-2179827441148.941,627717629190.7253,-1958026329798.56,-1883756596031.8765,1150960400460.5105,-2770975725509.917,-2012629453541.6536,8764086694063.853,-4126844471199.458,48.41229208990494,78.8542233471318,87.31702192838773,35.46146339155465,214.80064742040804,18.726497530664687,10.393547560445604,8.504789562068646,1.0,1.0,0.8396203787393697
457,928,0.000468,13.829697,213,128,104,6366214.4047281295,0.9939234119288686,5.213565670743254,0,13.295954834944032,11.66025187136139,0.0541947228964567,0.7414094536823241,-3.241623106101839,-3.0604349845617125,48.37796251076897,0.4596715716770747,9.26178302104938,6367244.455622314,0.9950331706268144,7.865226475645899,0,10.125342376776402,8.48963941319376,0.076578400449325,0.6549652944964507,-3.241623106101839,-3.0604349845617125,48.32897993616509,0.4872810787608489,2.131784177286404,6368684.221415376,1.0,8.228179842732516,0,8.006565074912324,6.369660167366885,0.0933599558330054,0.0012384002230395,-3.241623106101839,-2.6414954036688125,48.27991028477047,0.4130274108802265,0.966006333726156,1841670.8917357028,407955050.4684448,0.584756766926585,0.9783703755086116,474577.06829658704,24.688154964018608,25.54767502147011,5.509243148228439,0.7514148746120078,0.0,213.0,-1653939923101.7517,-70909229511.00598,-11868378380327.56,235597735669.43524,-1961129207888.383,-4541913531835.565,-138451169735.97583,-2269763543592.5933,-5649264559637.902,-1127006852573.564,-2914580299064.041,-7754753987654.931,29.620435708942185,19.0876023402292,55.805239621681054,59.9415061487778,226.1692810228465,35.262763226126566,8.540297863189899,6.091920123783445,1.0,1.0,0.7302338102627977
566,10485,0.000468,13.829697,213,128,104,66265744.85129479,0.0,61.68431062620155,2,,12.7187433388785,,0.5529678076945773,,-2.2478328222221693,,0.7419157307267784,8.656089159228552,66304753.14142276,0.0,61.46528136724008,2,,9.54813088071087,,0.5529678076945772,,-2.2478328222221693,,0.7419157307267784,8.927541730424593,66360125.57658971,0.0,59.39730079348954,2,,7.429353578846792,,0.5529678076945772,,-2.2478328222221693,,0.7419157307267784,8.512298015147975,43819006.53243065,8415403366.088867,0.5923891333604823,3.0433276271213368,373219647.6127675,44.78748885248408,56.00952653387765,1.542507352989148,,0.0,34.0,-2678077609307.825,-2094378144716.0715,2035142994954.0728,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,87.57166604545372,-4.0,-4.0,-4.0,22.73415372396816,7.608074079024024,1.5845555440077432,1.7778842402835466,1.0,1.0,0.4985157893861862
597,31646,0.000468,13.829697,213,128,104,172952643.96203136,0.896644206979219,11.317467968314444,1,9.609815286821636,11.134198522613245,2.124704565252604,1.2365341183595835,-1.1328280923847478,-2.199617574113475,1.370654807611055,2.4623522523486763,26.47430651603582,170766641.22494093,0.991125153527251,14.404848486387085,0,6.679476510348239,9.464851359199184,1.9098478108473085,1.0264479147930468,-1.154316942727824,-2.7083269101569223,1.5655498190695942,0.6289091053616821,16.743515898747045,163241867.2552874,0.9956416588296187,15.744291940588395,0,4.678677259313973,7.350025731961717,1.507617763386507,0.9847445540177088,-1.1811059709494482,-2.738095940824491,1.604376812204451,0.6326812716535278,12.577874472767244,117794610.55994034,6826367378.234863,0.1473078963742645,1.9759868913569896,633075478.8175777,58.41676297678414,45.96674826001963,4.591019974541784,11.572446195531477,0.0,213.0,-7279158457078.55,5170591877039.126,-57203029589226.79,594248175708.7754,-184466230209.21213,-546928585987.101,2883935594095.358,-4938852791459.501,-5584134977987.47,-10372692148960.922,-5517306281051.178,-20108419457264.73,49.65715586653517,36.80504166395597,42.81753021725801,62.56377381281921,167.56594233031802,38.698798039666535,7.001665336580967,5.221170592514928,1.0,1.0,0.62476574551471
692,2189578,0.000468,13.829697,213,128,104,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,71,0.000468,13.829697,213,128,104,487114.6903919351,0.0,92.39443514414424,2,,13.279871578390898,,0.0036956681912204,,-3.5188546871415096,,0.8065400736577525,4.645441196920793,487192.94295852014,0.0,75.16496696526302,2,,10.109259120223268,,0.0036956681912204,,-3.5188546871415096,,0.8065400736577526,4.887923677528938,487300.1481775253,0.0,89.95202794150171,2,,7.990481818359189,,0.0036956681912204,,-3.5188546871415096,,0.8065400736577527,4.945283876491029,130250.8644585032,227378159.76142883,0.0137904048980796,1.2018801288348382,23095287.1831029,6.467888650841877,26.587142063153696,0.5467412184898629,,0.0,11.0,6370122943.134781,-10447607880.588264,-9688542378.436052,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,17.561483242441902,-4.0,-4.0,-4.0,2.294542050222545,1.7256695246114515,1.1052842142050987,1.0181123326202688,0.0,0.0,0.141503131121795
816,30979,0.000468,13.829697,213,128,104,168008379.32791778,0.9853544147081468,13.129020818594476,0,7.717999699263077,12.103293943736409,2.220650251333052,2.500757430939873,-1.225048977790535,-2.1893957044570485,0.5471520695330603,0.7547989458920065,9.73343313988799,168646091.65507635,0.9965768147973916,15.183502748181049,0,4.558184873201781,9.493744620429233,2.1501214917047684,0.9745771684785056,-1.2301199870114792,-2.9777421412949976,0.5564084872771422,0.6008375331580038,10.262204128416167,156159419.44710422,0.9968462503394516,14.32073631124059,0,2.524156848820636,7.384298687587401,1.8760800456984872,0.2532630601059223,-1.2742082639664276,-3.0218230275368607,0.5643660681174849,0.5415954208461236,7.688276476536171,57616140.69342613,12727153301.239014,0.3023864298050911,2.444149675486607,1084049230.7220132,46.44441355846161,49.59575307629357,5.509243148228439,13.754663960353891,0.0,213.0,17079738624459.602,2517306613780.4004,-45657203595295.95,-234900190135.7971,-2664329070182.684,-4436063842843.454,-3314447763081.052,-2957959534148.715,-16203586928737.996,-3934011465204.6943,-2252010889412.617,-24153550438340.965,22.69525335252704,18.052130148400988,63.91038727190961,46.25408051604755,153.83962019715042,12.62660322249613,7.480186726599057,6.02891384923649,1.0,1.0,0.8482983158611632
1215,11914,0.000468,13.829697,213,128,104,72424909.60644451,0.0,61.94655677902991,2,,11.96247556881452,,0.7531066442619883,,-2.149907220883712,,32.94195869685203,9.797099117053442,72506821.05939598,0.0044175017449616,58.23976755626177,2,7.999887270961679,8.792141510311794,0.4600605918826965,0.7519243789749361,-1.1787728942308129,-2.151146445199539,0.3016275727703895,33.01676567435766,11.515041363938256,72625793.44867794,0.0783582615593097,49.69051493873449,2,5.881059665182541,6.680496024111472,0.6666370624097472,0.7267283374059877,-1.2017223013248777,-2.17289140871965,10.516668539801293,34.216143157905165,10.838774310616078,52055940.03200531,7046313285.827637,0.961492733080466,1.4322686332451382,810377459.8081826,37.25990594286407,56.27404672906287,1.8994384330343608,,0.0,198.0,-182769637940.7541,-13620343339113.363,10252459621006.22,-4.0,-4.0,-4.0,-2086398495.2960784,12989132807.460075,13700786155.632488,-6114255735.391289,19571544120.267017,33705972570.56335,77.58211915483349,-4.0,56.54552411007775,65.9167443684463,41.48994537107447,8.730557059127454,2.6777723658037584,2.278544759058197,1.0,1.0,0.6523110428350866
1264,5031,0.000468,13.829697,213,128,104,32367016.50841492,0.0,66.66806038640235,2,,13.271404659144174,,0.4313224213336963,,-2.4390292116988683,,2.111435462021861,5.109522599490488,32378286.39166821,0.0,65.11109094827971,2,,10.100792200976544,,0.4313224213336963,,-2.4390292116988683,,2.111435462021861,4.933159385509183,32394043.132565044,0.0,62.98802267871632,2,,7.982014899112467,,0.4313224213336963,,-2.4390292116988683,,2.111435462021861,5.040436848734524,27872752.398252487,2423827350.139618,0.1585078655884816,1.6184067001836506,68610623.80962893,36.16684605646292,40.43888881289038,1.210149473150964,,0.0,77.0,167875896342.2214,-1302119635375.8745,444998734475.9297,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,52.60487501842971,-4.0,-4.0,-4.0,12.461598074391942,7.635744759482747,2.035988138062393,1.7778842402835466,1.0,1.0,0.2401239484642253
